product_id,stock_out_timestamps,stock_out_duration_hours,stock_out_days,total_stock_out_hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"[(Timestamp('2022-01-01 00:00:01+0000', tz='UTC'), Timestamp('2023-02-22 18:55:25+0000', tz='UTC')), (Timestamp('2023-02-26 17:53:55+0000', tz='UTC'), Timestamp('2023-03-01 11:16:35+0000', tz='UTC'))]","[10026.923333333334, 65.37777777777778]","[417, 2]",10092.30111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"[(Timestamp('2022-06-08 16:29:15+0000', tz='UTC'), Timestamp('2022-06-09 23:59:58+0000', tz='UTC'))]",[31.511944444444445],[1],31.51194444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"[(Timestamp('2022-01-01 00:00:01+0000', tz='UTC'), Timestamp('2022-06-10 23:59:58+0000', tz='UTC')), (Timestamp('2022-06-27 20:14:59+0000', tz='UTC'), Timestamp('2022-07-01 23:59:58+0000', tz='UTC')), (Timestamp('2022-07-12 19:44:12+0000', tz='UTC'), Timestamp('2022-07-15 23:59:58+0000', tz='UTC')), (Timestamp('2022-07-24 10:01:22+0000', tz='UTC'), Timestamp('2022-07-29 23:59:58+0000', tz='UTC')), (Timestamp('2022-08-18 09:43:52+0000', tz='UTC'), Timestamp('2022-08-19 23:59:58+0000', tz='UTC')), (Timestamp('2022-11-03 10:25:18+0000', tz='UTC'), Timestamp('2022-11-11 23:59:58+0000', tz='UTC'))]","[3863.9991666666665, 99.74972222222222, 76.26277777777777, 133.97666666666666, 38.26833333333333, 205.57777777777778]","[160, 4, 3, 5, 1, 8]",4417.834444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"[(Timestamp('2022-01-01 00:00:01+0000', tz='UTC'), Timestamp('2022-10-18 23:59:58+0000', tz='UTC')), (Timestamp('2022-10-21 10:24:30+0000', tz='UTC'), Timestamp('2022-10-22 16:36:45+0000', tz='UTC')), (Timestamp('2022-10-23 12:05:50+0000', tz='UTC'), Timestamp('2022-10-25 09:06:31+0000', tz='UTC')), (Timestamp('2022-10-26 07:04:35+0000', tz='UTC'), Timestamp('2022-10-27 14:38:18+0000', tz='UTC')), (Timestamp('2022-11-01 22:38:16+0000', tz='UTC'), Timestamp('2022-11-03 17:22:28+0000', tz='UTC')), (Timestamp('2022-11-27 16:44:53+0000', tz='UTC'), Timestamp('2022-11-29 18:02:16+0000', tz='UTC')), (Timestamp('2022-12-04 13:09:56+0000', tz='UTC'), Timestamp('2022-12-06 15:03:28+0000', tz='UTC')), (Timestamp('2022-12-12 15:54:17+0000', tz='UTC'), Timestamp('2022-12-15 22:36:56+0000', tz='UTC')), (Timestamp('2023-01-08 23:59:58+0000', tz='UTC'), Timestamp('2023-01-10 16:37:08+0000', tz='UTC'))]","[6983.9991666666665, 30.204166666666666, 45.01138888888889, 31.561944444444446, 42.736666666666665, 49.289722222222224, 49.89222222222222, 78.71083333333333, 40.61944444444445]","[290, 1, 1, 1, 1, 2, 2, 3, 1]",7352.025556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"[(Timestamp('2022-01-01 00:00:01+0000', tz='UTC'), Timestamp('2023-01-25 23:59:58+0000', tz='UTC'))]",[9359.999166666666],[389],9359.999167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"[(Timestamp('2022-01-01 00:00:01+0000', tz='UTC'), Timestamp('2022-11-30 23:59:58+0000', tz='UTC'))]",[8015.9991666666665],[333],8015.999167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"[(Timestamp('2022-04-09 09:43:47+0000', tz='UTC'), Timestamp('2023-03-31 23:59:58+0000', tz='UTC'))]",[8558.269722222221],[356],8558.269722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"[(Timestamp('2022-01-01 00:00:01+0000', tz='UTC'), Timestamp('2023-01-07 23:59:58+0000', tz='UTC'))]",[8927.999166666666],[371],8927.999167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"[(Timestamp('2022-12-26 21:18:48+0000', tz='UTC'), Timestamp('2023-03-31 23:59:58+0000', tz='UTC'))]",[2282.686111111111],[95],2282.686111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"[(Timestamp('2022-01-01 00:00:01+0000', tz='UTC'), Timestamp('2022-04-04 23:59:58+0000', tz='UTC')), (Timestamp('2022-09-07 23:59:58+0000', tz='UTC'), Timestamp('2022-10-25 23:59:58+0000', tz='UTC')), (Timestamp('2023-01-27 13:59:07+0000', tz='UTC'), Timestamp('2023-03-31 23:59:58+0000', tz='UTC'))]","[2255.9991666666665, 1152.0, 1522.0141666666666]","[93, 48, 63]",4930.013333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
